Book_ID,Title,Author,Genre,Published_Y,Price,Stock
1,Vision-oriented logi,Deborah Baldwin,Mystery,2011,39.89,10
2,Multi-channeled miss,Donna Smith,Mystery,2006,6.83,40
3,Persevering modular ,Logan Berg,Mystery,1960,49.99,62
4,Innovative solution-,Crystal Medina,Biography,1990,6.93,63
5,Optimized demand-dri,Tyler Wong DDS,Mystery,1910,46.53,88
6,Up-sized eco-centric,Regina Jimenez,Fiction,1904,31.27,71
7,Polarized leadingedg,Eric Fisher,Biography,2011,34.44,5
8,Enterprise-wide asym,Jessica Olson,Non-Fiction,2003,27.93,9
9,Front-line zero tole,Jessica Williams,Biography,1966,29.41,4
10,Inverse foreground c,Lisa Sullivan,Science Fiction,1943,9.34,34
11,Customizable zero to,Jesse Mitchell,Biography,1959,8.32,60
12,Robust systematic le,Cindy Diaz,Fiction,1971,15.42,39
13,Business-focused reg,Melanie Cooper,Romance,1950,13.03,45
14,Open-source tangible,Erin Harding,Science Fiction,1918,7.66,37
15,Multi-channeled exec,Kelsey Shaffer,Biography,2020,28.59,39
16,Persistent mobile Lo,April Mccarthy,Romance,1968,10.93,69
17,Team-oriented increm,Gabriella Patterson,Romance,2025,38.2,31
18,Up-sized client-driv,John Clark,Biography,1962,32.11,63
19,Decentralized upward,Julie Carey,Fiction,1951,28.45,4
20,Diverse next generat,Anthony Randolph,Fantasy,2025,24.29,32
21,Networked full-range,Michelle Hurley,Fantasy,1995,21.04,4
22,Up-sized eco-centric,Jacob Brown,Non-Fiction,1917,46.0,8
23,Enterprise-wide lead,Joshua Gibbs,Romance,1963,32.5,26
24,Customizable human-r,Kristina Wells,Biography,1977,31.66,44
25,Organized cohesive a,David Bryant,Romance,2000,48.76,61
26,Programmable dedicat,Jared Garza,Fiction,1968,43.62,83
27,Triple-buffered hybr,Pedro Figueroa,Non-Fiction,1937,44.43,24
28,Profit-focused even-,Christina Beard,Biography,1921,28.77,61
29,Versatile leadingedg,Lance Miller,Non-Fiction,1928,11.94,96
30,Reverse-engineered s,Vincent Wells,Fiction,1998,9.12,50
31,Business-focused int,Emily Ferguson,Non-Fiction,1985,15.28,45
32,Assimilated zero tol,Natalie Garcia,Biography,2020,11.73,70
33,Reactive non-volatil,Elizabeth Mason,Mystery,1985,48.69,57
34,Devolved didactic op,Michael Carter,Mystery,1912,16.99,47
35,Devolved grid-enable,Bonnie Bradley,Fantasy,1968,13.95,15
36,Cross-group 24hour s,Thomas Stevens,Science Fiction,1910,29.54,10
37,Customer-focused int,Bill Hodges,Science Fiction,1987,36.84,95
38,Persistent stable pr,Natasha Gray,Non-Fiction,2013,50.0,84
39,Reverse-engineered c,Cindy Todd,Biography,1989,7.12,4
40,Configurable 6thgene,Theodore Lopez,Fantasy,1990,23.4,69
41,Horizontal systemati,Mark Rios,Non-Fiction,1972,23.25,94
42,Switchable next gene,Michelle Moreno,Non-Fiction,1998,44.2,24
43,De-engineered compos,Mary Pham,Mystery,1939,27.83,24
44,Multi-lateral impact,Jeffrey Carroll,Fantasy,1933,15.62,33
45,Compatible intangibl,Rhonda Gross,Non-Fiction,1971,13.5,35
46,Pre-emptive attitude,Steven Hernandez,Biography,1951,47.19,39
47,Stand-alone incremen,Jessica Campos,Non-Fiction,1933,5.3,12
48,Future-proofed optim,Christopher Crawford,Non-Fiction,1940,30.27,86
49,Multi-layered direct,Troy Singh,Fiction,1941,44.32,49
50,Managed regional arc,Fernando Mitchell MD,Fiction,1934,20.76,92
51,Mandatory exuding fr,Devin Romero PhD,Biography,2023,27.31,11
52,Focused contextually,Thomas Rogers,Science Fiction,1998,7.28,23
53,Open-architected cli,Andrew Hardin,Fantasy,1976,42.21,78
